headline,category
6,politics
7,politics
8,politics
News,politics
News,politics
"'Frustration of waiting for 10 days in Delhi ... ': Ponnala Laxmaiah, former Congress chief of Telangana, quits party ahead of assembly elections",politics
Ajit Pawar becoming chief minister of Maharashtra will remain only a dream: Sharad Pawar,politics
'Why has he sold his Jana Sena to another political party?' Andhra CM Jagan Mohan Reddy slams Pawan Kalyan over alliance with Chandrababu Naidu's TDP,politics
BJP's 'explosive' fifth list in Madhya Pradesh may drop 25-30 sitting MLAs,politics
Will Congress vs AAP battle in states impact INDIA's national unity efforts?,politics
INDIA bloc faces test of its 'spirit of accommodation'',politics
Telangana assembly election: A third term for KCR or a Congress show?,politics
Mizoram assembly election: Stage set for a three-way,politics
Chhattisgarh assembly elections: Congress’s welfare push vs BJP's infrastructure promise,politics
Madhya Pradesh assembly elections: Winds of change in saffron citadel?,politics
Rajasthan assembly elections: It is magician Ashok Gehlot vs Modi magic,politics
"For old guard, a make-or-break battle in Rajasthan, Madhya Pradesh",politics
"Congress, BJP eye CM hat, K Chandrashekar Rao aims for hat-trick",politics
"Assembly elections 2023: Stage set for BJP vs Congress in Madhya Pradesh, Rajasthan and Chhattisgarh",politics
"Madhya Pradesh assembly elections 2023 schedule: Important dates, polling and results",politics
"Rajasthan assembly elections 2023 schedule: Important dates, polling and results",politics
"Telangana assembly elections 2023 schedule: Important dates, polling and results",politics
"Mizoram assembly elections 2023 schedule: Important dates, polling and results",politics
"Chhattisgarh assembly elections 2023 schedule: Important dates, polling and results",politics
"EC announces poll schedule for 5 states: Voting begins on November 7, counting on December 3",politics
NCP leader says Ajit Pawar's lawyers told EC that Sharad Pawar 'behaved like a dictator',politics
'He has neither read law nor Constitution': Jagdeep Dhankar slams Ashok Gehlot for questioning VP's Rajasthan visits,politics
"Political roads filled with turmoil, guide me: Madhya Pradesh CM Shivraj Singh Chouhan to sadhus",politics
BJP big guns in MP poll race turn spoilsport for party's CM aspirants,politics
TMC members detained in Delhi over stir at Krishi Bhavan,politics
"KCR wanted to join NDA, was rebuffed, says Modi in Telangana",politics
BJP alleges irregularities but Nitish backs caste survey in Bihar,politics
PM Modi says Telangana chief minister KCR wanted to join BJP-led NDA,politics
"Congress leader Abhishek Manu Singhvi differs with Rahul Gandhi, warns 'population-based rights will lead to majoritarianism'",politics
"Lalu, Nitish promise all-India caste census if INDIA forms govt",politics
"PM Modi attends state polls meet, Rajasthan candidates' list soon",politics
Electoral bonds are 'legalised bribery': P Chidambaram,politics
"Opposition's INDIA faces Punjab challenge as Congress, AAP trade charges over MLA's arrest",politics
"Danish Ali: If BJP thinks it can make gains from Ramesh Bidhuri's derogatory remarks, it is living in a fool's paradise",politics
Women's reservation bill a 'jumla' by BJP: Mallikarjun Kharge in Chhattisgarh,politics
RJD MP Manoj Jha's 'Thakurs' poem in Parliament triggers political storm in Bihar,politics
Asaduddin Owaisi challenges Rahul Gandhi to contest elections from Hyderabad,politics
Sharad Pawar visits Adani's Gujarat office & home; political circles abuzz,politics
"New Parliament building's architecture killed democracy, conversations: Congress",politics
Relief by Chhattisgarh govt aids women in dealing with inflation: Priyanka Gandhi,politics
"'Smriti Irani's portfolio to abuse Congress, Gandhi family': KC Venugopal",politics
"Heed Bharat Mata's voice, avoid BJP traps, Rahul Gandhi advises party",politics
"Rs 2.5k/month for women, 200 units free electricity among 6 Congress Telangana ‘guarantees’",politics
Bihar CM Nitish Kumar rejects INDIA bloc decision to boycott show of 14 news anchors,politics
NDA will win all 40 Lok Sabha seats in Bihar in 2024 polls: Amit Shah,politics
"BRS, BJP two sides of same coin; will fight their 'anti-people' stance in Telangana: Congress",politics
"Will fight Rajasthan polls unitedly, high command will decide who will lead next govt after elections: Sachin Pilot",politics
"Full agenda of parliament session not revealed yet, govt may deploy 'dirty tricks': Derek O'Brien",politics
"Nitish Kumar INDIA's PM face, says JD(U), bloc allies parry queries",politics
Seat sharing talks likely at today’s INDIA bloc meeting: Raghav Chadha,politics
1,politics
2,politics
3,politics
4,politics
5,politics
6,politics
7,politics
8,politics
9,politics
News,politics
News,politics
"UBT Sena part of INDIA, but won't give up its identity: Uddhav Thackeray",politics
"G20 summit: An unprecedented boost for India's stature, says BJP",politics
"HD Deve Gowda puts seal on BJP pact, rumblings in JD(S)",politics
"1st bypolls after formation: INDIA wins 4 seats, BJP 3",politics
Nitish Kumar likely to have face-to-face greetings with PM Modi during G20 dinner,politics
"'President of Bharat': Congress slams govt over G20 invite, BJP hits back",politics
"Adhir Ranjan Chowdhury says Kharge left out from one-poll panel, result foregone",politics
Mass conversions in Chhattisgarh under Congress govt: Amit Shah,politics
Seat sharing issues among INDIA allies will be solved by September end: Nitish Kumar,politics
"Hold Lok Sabha & UP elections simultaneously before implementing 'One Nation, One Election': Akhilesh Yadav",politics
BJP: Opposition alliance based on give and take,politics
Rahul Gandhi shouldn’t be projected as PM candidate: Shashi Tharoor,politics
Will seek public opinion on alliance's new logo: Uddhav Thackeray,politics
Consensus on key issues eludes INDIA bloc,politics
"‘One nation, one election’ move threat to federalism, says opposition",politics
INDIA to contest elections together ‘as far as possible’,politics
"'One nation, one election' move ploy to divert attention from issues of unemployment, inflation: Sena (UBT)",politics
"Opposition's INDIA forms coordination panel, says 'will contest Lok Sabha polls together as far as possible'",politics
Sena vs Sena over cost of INDIA bloc meet at luxury hotel,politics
"INDIA to let state panels discuss seat-sharing, eyes 400 straight fights vs BJP",politics
"'2024! I'll be back,' says BJP poster featuring 'Terminator' PM Modi",politics
Sharad Pawar camp eyes seats under INDIA in Haryana & Rajasthan,politics
Congress to use Karnataka governance template across India: Rahul Gandhi,politics
"SAD won’t join opposition bloc with Congress, Mayawati to go solo",politics
"INDIA bloc will provide formidable alternative, says Sharad Pawar on eve of meet",politics
"National convener, PM face, seat-sharing formula: What all may test INDIA's bonhomie at Mumbai meet",politics
Modi govt 'weaponising' Aadhaar to deny most vulnerable citizens their social welfare benefits: Congress,politics
INDIA bloc set to get coordination panel during its Mumbai meet,politics
"Eye on Andhra polls, TDP chief backs caste census, freebies",politics
"Logo of INDIA bloc to be unveiled on August 31, confirms Nana Patole",politics
"BJP may go for Lok Sabha polls in December 2023, has booked all choppers for campaigning: Mamata Banerjee",politics
"Where is the red diary, produce it: Kapil Sibal to Amit Shah over latter's barb at Ashok Gehlot",politics
"Congress, BRS and AIMIM are '4G, 3G, 2G parties': Amit Shah's jibe at opponents",politics
UP Congress keen to field Priyanka Gandhi from Varanasi: Ajay Rai,politics
Rahul Gandhi playing 'cheap politics' with baseless claim of China taking over land in Ladakh: BJP's Tarun Chugh,politics
Cong leaders perched on bicycles roamed around streets of Amethi: Smriti Irani takes dig at SP-Cong combine,politics
Congress wears different masks ahead of assembly elections: Jyotiraditya Scindia,politics
INDIA's Mumbai conclave: AAP confirms participation amid uneasy Congress ties,politics
"Team Kharge: Ahead of Rajasthan election, Sachin Pilot makes it to CWC; Anand Sharma, Tharoor also in",politics
"Rahul Gandhi will contest from Amethi, UPCC chief says, and 'clarifies' later",politics
"'My wife will kill herself', said Shinde camp MLA lobbying for ministership",politics
"Karnataka government’s decision to discontinue NEP politically motivated, says Dharmendra Pradhan",politics
"'Bring Sharad Pawar to NDA if you want to be Maharashtra CM, PM Modi told Ajit Pawar'",politics
"TDP eyes NDA entry, but wants BJP to sever ties with YSRCP first",politics
"How BJP, Congress scramble over ‘Bharat Mata’",politics
We are not enemies: Congress underplays Nitish Kumar paying tributes to Atal Bihari Vajpayee,politics
"Nehru Museum renamed as BJP does not like Nehru-Gandhi family, says Congress's Gaurav Gogoi",politics
"Congress alleges corruption by Modi government in projects over CAG reports, holds PM accountable",politics
"Congress evasive on Sharad Pawar’s ‘secret meeting’, Sanjay Raut says he will never join hands with BJP",politics
Ajit offered Sharad Pawar berth in Union Cabinet: Congress ex-CM,politics
1,politics
2,politics
3,politics
4,politics
5,politics
6,politics
7,politics
8,politics
9,politics
10,politics
News,politics
News,politics
When CJI D Y Chandrachud returned PM Modi’s compliments with folded hands,politics
"Congress alleges PM Modi’s Independence Day speech filled with ‘distortions, lies, exaggerations and vague promises’",politics
"Congress chief Mallikarjun Kharge bypasses Independence Day event at Red Fort, says democracy under threat",politics
"Mayawati accuses Congress, BJP of playing politics over ‘50% commission’ row",politics
"Owaisi hopes PM Modi to condemn demolitions in Nuh, ‘targetted’ violence in I-Day speech",politics
Minister Hardeep Puri shares personal grief as BJP leaders observe Partition Horrors Remembrance Day,politics
"BJP tears into Congress’s Surjewala for calling BJP’s voters, supporters as having demonic tendencies",politics
"BJP's ‘corruption, loot’ taking nation on highway to hell, alleges Mallikarjun Kharge",politics
When home minister Amit Shah officially used cuss word ‘harami’,politics
Independence Day 2023: PM Modi to equal Manmohan Singh’s record of hoisting national flag for 10 times,politics
How politics behind Darbhanga AIIMS has delayed its construction,politics
Amit Shah compares opposition alliance to 'old wine in old bottle',politics
‘PM Modi way ahead of Rahul Gandhi in social media engagements’,politics
"PM Modi talks about Manipur for the first time outside Parliament, accuses ‘GHAMANDIA’ of betraying state",politics
Deliberate design by BJP to throttle oppn voice: Adhir Ranjan Chowdhury on his suspension from Lok Sabha,politics
"Monsoon session over, INDIA focuses on war plan ahead of Mumbai meet",politics
AAP requests media to abstain from using forgery or fake signature in Raghav Chadha suspension case,politics
"I was suspended for exposing BJP’s double standards, AAP’s Raghav Chadha says in a video clip",politics
"Modi’s speech in Parliament revealed influence of ‘mischievous distorians’ on his thinking, alleges Congress",politics
"Modi government’s bill to select CEC, ECs against Advani’s proposal in 2012: Congress",politics
"Parliament adjourned sine die: Modi government, opposition blame each other for no discussion on Manipur",politics
"Adhir suspended to keep him away from Public Accounts Committee meetings, alleges Mallikarjun Kharge",politics
BJP attacks Rahul Gandhi as Congress leader fires another salvo at PM Modi over Manipur violence,politics
"Bill tabled in Rajya Sabha to replace CJI with cabinet minister for selection of CEC, election commissioners",politics
BJP demands probe into questions raised by I-T office against firm of Kerala CM Pinarayi Vijayan’s daughter,politics
I got everything because of Rahul Gandhi: Congress quotes Kalavati to counter Amit Shah,politics
No-confidence motion: TMC MP Mahua Moitra's 'chup raho' republic dig at govt,politics
"Govt doesn't want debate on Manipur in Rajya Sabha, following 'my way or highway' approach: Jairam Ramesh",politics
'No unparliamentary words used': Adhir Ranjan Chowdhary on Rahul Gandhi's Lok Sabha speech 'expunged',politics
"Ironic that BJP talking of Quit India Movement Day, counters Congress",politics
Rajya Sabha chairperson Jagdeep Dhankhar refers 'forgery' complaints against AAP’s Raghav Chadha to privileges panel,politics
Congress accuses Sansad TV of focusing on Rahul Gandhi for less than 40% of his Lok Sabha speech,politics
"Congress betrays Northeast, alleges Himanta Biswa Sarma; Jairam Ramesh hits back",politics
"BJP launches 'quit corruption, dynasty, appeasement' campaign on Quit India Movement Day to spite INDIA bloc",politics
Congress had two reasons for not fielding Rahul Gandhi during no-confidence motion debate,politics
Opposition brought no-trust motion to test confidence of own bloc: PM to BJP MPs,politics
"Gaurav Gogoi sent in ahead of Rahul Gandhi, tweaked line-up sparks drama",politics
This was only option to make Modi break his maun vrat: Gaurav Gogoi,politics
Opposition slams PM’s ‘maun vrat’ on Manipur; Centre says INDIA bloc should back India,politics
Congress dares Kiren Rijiju to share details of ministers who visited Manipur since violence broke out,politics
"Restoring expunged records on NewsClick row unprecedented, says Adhir Chowdhury",politics
Congress expresses shock over ex-CJI Ranjan Gogoi’s remarks over basic structure of Constitution,politics
"AAP defends Raghav Chadha, says BJP’s forgery charge aims at disqualifying him",politics
Bharat Jodo Yatra 2.0: Congress gearing up for Rahul Gandhi's second 'padyatra' from Gujarat to Meghalaya,politics
BJP calls Manmohan Singh’s presence in Rajya Sabha ‘embarrassing’ even as Congress praises him,politics
"No-trust motion: BJP MP Nishikant Dubey's 'bete, damaad' jibe at Sonia Gandhi, Rahul Gandhi",politics
"After 4 months, Rahul Gandhi returns as MP a day ahead of no-trust debate",politics
"NDA’s strike rate better, but INDIA has deeper lineup",politics
BJP leaders tear into Congress over report on NewsClick,politics
"Delhi services bill debate in Rajya Sabha: Forgery of signatures alleged, House to probe",politics
1,politics
2,politics
3,politics
4,politics
5,politics
6,politics
7,politics
8,politics
9,politics
10,politics
11,politics
News,politics
News,politics
Delhi services bill: Points of order galore during debate in Rajya Sabha,politics
"Happy day for Congress in Parliament: Rahul Gandhi’s disqualification revoked in Lok Sabha, Rajni Patil’s suspension repealed in Rajya Sabha",politics
"BJP’s Nishikant Dubey accuses Congress of defending NewsClick to 'break' India, Adhir asks Lok Sabha speaker Om Birla to expunge remarks",politics
Rahul Gandhi back as MP as Lok Sabha Speaker Om Birla reinstates his membership,politics
"Decision in Gyanvapi case should be taken on basis of evidence, says UP minister Asim Arun",politics
VP Jagdeep Dhankhar expresses anguish over ‘sinister effort’ by some to ‘tarnish’ institutions,politics
"Assam to introduce Bill this financial year to end polygamy, says CM Himanta Biswa Sarma",politics
"Modi government has made railway journey risky, says Congress’s Randeep Surjewala",politics
Quit India Movement: How PM Modi attacked opposition for naming bloc INDIA,politics
"Nitish Kumar maybe named INDIA convener, Sonia Gandhi chairperson",politics
"Abrogation of Article 370 has transformed Jammu and Kashmir, say BJP’s Amit Malviya",politics
Owaisi hopes ASI report on Gyanvapi mosque will not open floodgates for ‘1000 Babris’,politics
"Lok Sabha passes Inter-Services Organisations Bill, Congress’s Manish Tewari objects to its quick passage",politics
Lok Sabha can initiate Rahul Gandhi’s reinstatement after getting Supreme Court order,politics
"Opposition climbs down over discussion on Manipur in Rajya Sabha, but government not in a hurry",politics
Will Rahul Gandhi be reinstated as Lok Sabha MP before August 8?,politics
Modi surname defamation case: Why Supreme Court stayed Rahul Gandhi's conviction,politics
Congress leaders welcome Supreme Court verdict staying Rahul Gandhi’s conviction,politics
"Congress’s Manish Tewari claims Data Protection Bill classified as money bill, IT minister Ashwini Vaishnaw refutes",politics
BJP questions role of Congress MLA in inciting Haryana violence,politics
"Rajasthan is ‘rape capital’ of India, allege BJP's women MPs from state",politics
"Deja vu moment for Lok Sabha as speaker Om Birla skips House, Adhir Chowdhury mollifies him",politics
"Ministers Piyush Goyal, Pralhad Joshi meet Mallikarjun Kharge to break deadlock in Rajya Sabha",politics
"Appeal to all Indians, maintain brotherhood: Rahul Gandhi",politics
"Set your house in order, BJP tells Mamata Banerjee over her comments on Centre’s ‘increasing debt’",politics
"Buoyed by Karnataka win, Congress claims victory on 20 seats in 2024 Lok Sabha election",politics
INDIA bloc memorandum requests President Murmu to press upon PM to urgently address Parliament on Manipur,politics
Vast gap between Modi government’s global talk and domestic walk on environment: Jairam Ramesh on passage of Forest (Conservation) Amendment Bill in Parliament,politics
Opposition mulls no-confidence motion against Dhankhar,politics
"Opposition blames BJP for Haryana violence, Maharashtra train firing",politics
"Amit Malviya blames Congress for Himachal Pradesh farmers destroying apples, peas",politics
"Congress says Vajpayee as PM addressed Rajya Sabha on 2002 Gujarat violence, demands Modi's statement on Manipur",politics
Follow Vajpayee and speak in Rajya Sabha: TMC’s Derek O’Brien to PM Modi on Manipur violence,politics
"Congress divided Northeast for 70 years, PM Modi uniting region: Himanta Biswa Sarma",politics
"On PM Modi event eve, Sharad Pawar refuses to meet opposition netas",politics
"How can ministers move legislation on policy matters when no-confidence motion is pending, asks Manish Tewari",politics
"Opposition’s only agenda is to hide truth, spread lies: Dharmendra Pradhan",politics
Modi government clueless in handling Manipur situation: Mallikarjun Kharge,politics
BJP to boost social media drive ahead of 2024 Lok Sabha polls,politics
'PM Modi a messiah of poor': Amit Shah sounds poll bugle in MP,politics
"As BJP eyes OBCs in UP, woman MLA from SP likely to join party",politics
"Modi government looting people, ruthlessly profiteering from petrol, diesel: Jairam Ramesh",politics
"There should be no disruptions in Lok Sabha, state assemblies: Lok Sabha speaker Om Birla",politics
Sanjay Raut slams BJP for calling opposition bloc INDIA members' visit to Manipur as 'show-off',politics
"Sharad Pawar to attend event to honour PM Modi, opposition unhappy",politics
"JP Nadda rejigs team, ex-AMU VC appointed BJP national vice president",politics
"Rohingya trying to use Assam as transit state to sneak into Delhi, Kashmir: Himanta Biswa Sarma",politics
All have to try for peaceful solution to Manipur conflict: Adhir Chowdhury,politics
"‘INDIA’ does not want India to get empowered, says Amit Shah",politics
"BJP, Congress clash over alleged hidden cameras in Udupi college",politics
1,politics
2,politics
3,politics
4,politics
5,politics
6,politics
7,politics
8,politics
9,politics
10,politics
11,politics
12,politics
News,politics
News,politics
Why Himanta Biswa Sarma said Assam will end love jihad,politics
"Manipur violence is a tribal conflict, not a religious one: BJP quotes Christian priest",politics
PM Modi is rattled: Congress on BJP MP’s remark over removing India from Constitution,politics
"Lok Sabha passes 6 bills after no-confidence motion accepted, opposition cries foul",politics
Red diary latest product of Congress 'loot shop': PM Modi in Rajasthan,politics
"INDIA's next meet in Mum on August 25, 26",politics
"Real loot is in sale of red tomatoes, cylinders: Ashok Gehlot",politics
"Ashok Gehlot, PMO spar over 'missing' invite for 3-minute speech",politics
When Smriti Irani shouted at opposition over Manipur in Parliament,politics
"PM Modi says SIMI, PFI used INDIA name; Congress calls it ‘shameful retort’",politics
Congress Manipur MLAs demand convening of assembly’s emergency session,politics
Why black is in vogue in monsoon session of Parliament,politics
"Congress demands suspension of legislative business, early discussion on no-confidence motion",politics
"PM Modi's Rajasthan visit: Your office said you won’t join, PMO to Ashok Gehlot",politics
Rajasthan CM Ashok Gehlot tweets 'hearty welcome' to PM Modi,politics
"Kapil Sibal retorts to VP Jagdeep Dhankhar, questions PM Modi over Manipur violence",politics
"Mallikarjun Kharge alleges his mic switched off, VP Jagdeep Dhankar refutes allegation",politics
No religious events at Rashtrapati Bhavan as President Murmu sticks to Kovind-era practices,politics
"Mamata takes a dig at PM Modi, says he is impressed with name I.N.D.I.A.",politics
BJP hits back at Congress for attacking PM Modi over remarks against I.N.D.I.A.,politics
"Lok Sabha speaker Om Birla meets opposition leaders, urges them to revisit impasse on Manipur",politics
Phangnon Konyak becomes first woman MP from Nagaland to preside over Rajya Sabha,politics
"'Call us whatever you want, we are INDIA': Rahul Gandhi responds to PM Modi's attack on opposition front",politics
Why Assam CM Himanta Biswa Sarma gave third explanation on changing Twitter bio,politics
How Congress continues to exert pressure on PM Modi to speak in Parliament on Manipur violence,politics
"AAP MP Sanjay Singh suspended from Rajya Sabha, VP Dhankhar says no country can flourish without discipline",politics
To demand a new practice not in national interest: Lok Sabha speaker Om Birla to opposition,politics
HAL stocks soar: BJP attacks Rahul Gandhi for ‘fake’ campaign against PM Modi,politics
"BJP highlights ‘infighting’ in Karnataka Congress, says state will suffer",politics
"A fortnight after mocking Rahul Gandhi, Himanta Biswa Sarma lauds Assam minister for farming",politics
Disruption in Parliament antithetical to democracy: V-P Dhankhar in Jamia Millia Islamia University,politics
Smriti Irani vs opposition over ‘report card’ about her on Manipur violence,politics
"Parliament monsoon session: Opposition hardens stand on Manipur, stalemate may continue",politics
"Manipur was blockade capital under Manmohan Singh, state healing due to PM Modi: Assam CM Himanta Biswa Sarma",politics
"Mallikarjun Kharge’s humour even changes inclement weather, wishes V-P Jagdeep Dhankhar on Congress president’s birthday",politics
Day 2 of Parliament monsoon session: Congress vs BJP over Manipur viral video,politics
Assam CM Himanta Biswa Sarma demands Rahul Gandhi’s apology for ‘defaming’ Manipur,politics
Priyanka Vadra in Gwalior: How Jyotiraditya Scindia came under severe attack from Congress,politics
"From Sonia Gandhi to Netta D’Souza, what top Congress leaders said on Manipur violence",politics
Parliament monsoon session: How Rajya Sabha created two records,politics
Why BJP condemns but also questions timing of Manipur shameful video,politics
Why notices under Rule 267 rained in Rajya Sabha on first day of monsoon session,politics
Why opposition’s INDIA will face tough call on 209 seats in 2024 Lok Sabha election,politics
Parliament monsoon session may witness ruckus if government disallows discussion on Manipur,politics
"Amid NCP vs NCP, Uddhav Thackeray's 'courtesy call' to Maharashtra deputy CM Ajit Pawar",politics
"Not just Nitish Kumar, former ally Jitan Ram Manjhi also objects to opposition’s INDIA name",politics
"How Congress, BJP clashed over I-N-D-I-A vs Bharat",politics
'Jeetega Bharat' tagline for opposition alliance INDIA,politics
"'Unhappy' Nitish Kumar, Lalu Prasad skip joint opposition press briefing in Bengaluru",politics
Who named opposition group INDIA – Rahul Gandhi or Mamata Banerjee?,politics
1,politics
2,politics
3,politics
4,politics
5,politics
6,politics
7,politics
8,politics
9,politics
10,politics
11,politics
12,politics
News,politics
News,politics
"24 of 38 parties in NDA meet have zero MPs, says opposition",politics
Democratic or developmental?: BJP takes a dig over D in opposition’s INDIA name,politics
"BJP takes a dig at opposition group’s name INDIA, says name change won’t change character",politics
Shashi Tharoor pays moving tributes to former Kerala CM Oommen Chandy,politics
"LJP (Ram Vilas) joins NDA, Chirag Paswan confident of wining all 40 Lok Sabha seats in Bihar",politics
"Opposition meeting to protect democracy, Constitution: Congress president Mallikarjun Kharge",politics
"As foot soldiers, you will be brand ambassadors of India: V-P Dhankhar tells IFS trainees",politics
How BJP seeks to mount pressure on Mamata over West Bengal panchayat poll violence,politics
"BJP terms opposition meet as opportunistic, Congress says NDA rattled",politics
"Under criticism over Manipur riots, BJP questions opposition’s silence on Delhi floods, West Bengal violence",politics
"Opposition meet: Congress evades leadership issue, BJP calls it 'marriage procession without groom'",politics
"NCP chief Sharad Pawar skips Day 1, to attend Day 2 of of joint opposition meet in Bengaluru",politics
PDA means Protection of Dynasties’ Alliance: BJP president JP Nadda in Jaipur,politics
"Congress’s all out attack on Centre over Manipur violence, Shashi Tharoor favours lifting internet ban",politics
"We'll have to fight, remove BJP from power: CPI leader D Raja on opposition meet",politics
3 reasons why Congress support to AAP over Delhi ordinance is more about optics than gains,politics
Om Prakash Rajbhar led SBSP joins NDA ahead of 2024 Lok Sabha polls,politics
"Congress set to host 2-day Bengaluru meet, 24 opposition parties expected to attend",politics
"Will meet PM Modi on July 18, discuss issues of farmers with him, says Ajit Pawar",politics
BJP chief JP Nadda writes to Chirag Paswan to join NDA meeting on July 18,politics
"BJP attacks Rahul Gandhi, Mamata over West Bengal panchayat election violence; TMC retorts",politics
Congress asks PM Modi to inquire about Manipur as he did for Delhi floods,politics
PM Modi’s 41 years' attachment with France: When Indira Gandhi conversed in French with President De Gaulle in 1966,politics
Row over Himachal CM Sukhu’s remarks on Indian Air Force,politics
Chandrayaan-3’s successful launch: How Congress patted its back,politics
BJP seeks Rahul Gandhi’s comments on violence during West Bengal panchayat election,politics
BJP launches fresh attack on KCR government of poll-bound Telangana,politics
"Congress, BJP clash over Centre’s budget on advertising",politics
Congress-BJP blame game over Centre’s restriction on sale of rice,politics
Foxconn-Vedanta chip deal off: Friendly fight between Congress’s Jairam Ramesh and BJP’s Amit Malviya,politics
Why BJP is upbeat over West Bengal panchayat election results,politics
Democracy is integral part of Indians’ lifestyle: Lok Sabha speaker Om Birla,politics
Congress will give befitting reply to BJP’s ‘political fraud’ in Maharashtra: Mallikarjun Kharge,politics
Congress questions Amit Shah's locus standi over remarks on ED,politics
"What happened to Rs 70,000 crore scam by NCP? Uddhav takes dig at Modi as Sharad Pawar to be chief guest at award event",politics
Congress president Mallikarjun Kharge invites leaders for next Opposition meet in Bengaluru on July 17-18,politics
"West Bengal panchayat election violence: Congress central leaders defend TMC, state unit attacks Mamata",politics
"West Bengal panchayat election: How it is TMC versus BJP, CPM, Congress",politics
West Bengal panchayat poll violence: Governor meets home minister Amit Shah,politics
BRS to oppose Uniform Civil Code Bill: KCR,politics
Uddhav accuses BJP of 'splitting' other parties as it wasn't confident of winning polls on its own,politics
